address,maxBonded
thor1nfmk7k2h3ds575neetred8k6x77tz6jj9jkwd4,15232.37
thor148tat8x8rwu2596k3eg5hazu5mkak8plthrcp5,15158.03
thor1lvfm9uwuc26ldhpw36gmvg7x3tt6202ssc5xwa,13999.9
thor1tgzc4xtwr7ww8cdkfxgmwl4hgtfpj763a45klg,13827.81
thor1ycp2gg9kkq8vg6dhvn05r5lg8dmavf8rq89trw,11892.39
thor1hrlaud3wntlu3vusk44js0m2rtpzgj4ln02ul9,10801.56
thor1chfgr7hw88thn8s9sj59260mmjwpl65t0jxtd7,10758.97
thor1lnrnrlfg354mgfq55q7nlemmj6z0z5dvcey2rp,10367.32
thor1sm8jumcy0qww7lq9t6da7mwrj2htt05r8hc337,10278
thor19mer4lvv6zvegg8dcd56t4jqynylev6f3r7tz7,10259.09
thor1jr77agqd7jycjdk0ja27tpeefdk3puxhpsh5wh,10258.37
thor1tfnwtaytkasvlqu5nfsu0zsdv5gg6py9gnp2qd,10137.89
thor1srwvjdf6mcah5288zd35g8xjl20zkyc4r6qnt7,9082.08
thor1k074cz0j0wgct3rzyh8nmw6tn90qts92uel7da,8946.88
thor1mhy5gmp3kmpv5sxygl5rcw9el25q0cn2ja0f3q,8618.53
thor1gnwt83r576ze2x9rvt362flr7kvrd29y2e0c8k,8529.55
thor1n3f7hw68hr033lgqarau4jqjzpj96hs7re5n6g,7760.31
thor18wcnef2nfsnyxr7k2gya0upss4mv3y0dy3zz8y,7563.62
thor1wap9ppwz7ttg0c5xydj0syf7n46wspeyqwj8tw,7302.57
thor1ya66qlf9jmsxm508pp3njkxdler6pt5tpldn35,6850.74
thor10d99ljz8y8tels8sunwep922sdynp2fumem54s,6402.95
thor16j75ftrdhe9gt7lzm5ex44768kkjcktmvfms7f,6399.57
thor1hz9wka74qmn0m7tfe2qeyyetpcnk2g2kpth0e5,4731.34
thor1u9vwfvgq00sgtz5grvua0w6prqzdf3rsazehs7,4524.47
thor1uq3xcgfjzw2l2nyqy42a6tyyhaxujncvmxnnpj,4446.03
thor1pclal2930tl5wvkvsmhhnjmg262tw47slpzzc3,4366.97
thor169wy974lr2c8gsesgv4jjf7z6czgge5pfa75l6,3940.62
thor1pg8vsvw60wh9n0xlr3vk0wchsdsv5svcvgqn0c,2856.11
thor1w6cepd4mfm22nxjwa3jhlyfurxut8r8luu7xnu,2853.65
thor153lqpf8emjz67r9rc6f94ug9cmh52cscgd2dkx,2824.47
thor1pnqm9slehc2l6zemq0mua8xpqj4284p337z2qr,2432.88
thor1n9gcud325e25ywe9sycwwh6pqgalq03e5mj7dg,227.59
thor19cye2jghzvtx2sxunk0qryjwqxkuqgqtk4laly,31.26
thor1ckjawvheygt5hvhq0chqhr0furgj9p75m98r7l,7.19
